train_id,station,time,color
ICE240,Bad Bentheim,09:51,Red
ICE240,Hengelo,10:07,Red
ICE240,Hengelo,10:09,Red
ICE240,Deventer,10:41,Red
ICE240,Deventer,10:47,Red
ICE240,Apeldoorn,10:57,Red
ICE240,Apeldoorn,10:59,Red
ICE240,Amersfoort Centraal,11:24,Red
STOP31236,Oldenzaal,10:03,Blue
STOP31236,Hengelo Oost,10:09,Blue
STOP31236,Hengelo,10:13,Blue
STOP31236,Hengelo,10:16,Blue
STOP31238,Oldenzaal,10:33,Blue
STOP31238,Hengelo Oost,10:39,Blue
STOP31238,Hengelo,10:43,Blue
STOP31238,Hengelo,10:46,Blue
STOP31240,Oldenzaal,11:03,Blue
STOP31240,Hengelo Oost,11:09,Blue
STOP31240,Hengelo,11:13,Blue
STOP31240,Hengelo,11:16,Blue
STOP31242,Oldenzaal,11:33,Blue
STOP31242,Hengelo Oost,11:39,Blue
STOP31242,Hengelo,11:43,Blue
STOP31242,Hengelo,11:46,Blue
SPR7036,Almelo,10:23,Blue
SPR7036,Wierden,10:28,Blue
SPR7036,Wierden,10:28,Blue
SPR7036,Rijssen,10:34,Blue
SPR7036,Holten,10:39,Blue
SPR7036,Deventer Colmschate,10:49,Blue
SPR7036,Deventer,10:54,Blue
SPR7036,Deventer,10:55,Blue
SPR7036,Twello,11:00,Blue
SPR7036,Apeldoorn Osseveld,11:05,Blue
SPR7036,Apeldoorn,11:10,Blue
SPR7038,Almelo,10:53,Blue
SPR7038,Wierden,10:58,Blue
SPR7038,Wierden,10:58,Blue
SPR7038,Rijssen,11:03,Blue
SPR7038,Holten,11:09,Blue
SPR7038,Deventer Colmschate,11:19,Blue
SPR7038,Deventer,11:24,Blue
SPR7038,Deventer,11:25,Blue
SPR7038,Twello,11:30,Blue
SPR7038,Apeldoorn Osseveld,11:35,Blue
SPR7038,Apeldoorn,11:40,Blue
SPR7040,Almelo,11:23,Blue
SPR7040,Wierden,11:28,Blue
SPR7040,Wierden,11:28,Blue
SPR7040,Rijssen,11:33,Blue
SPR7040,Holten,11:39,Blue
SPR7040,Deventer Colmschate,11:49,Blue
SPR7040,Deventer,11:54,Blue
SPR7040,Deventer,11:55,Blue
SPR7040,Twello,12:00,Blue
SPR7040,Apeldoorn Osseveld,12:05,Blue
SPR7040,Apeldoorn,12:10,Blue
