,train_id,station,time,color
0,ICE242,Bad Bentheim,07:51,Red
1,ICE242,Hengelo,08:07,Red
2,ICE242,Hengelo,08:09,Red
3,ICE242,Deventer,08:41,Red
4,ICE242,Deventer,08:47,Red
5,ICE242,Apeldoorn,08:57,Red
6,ICE242,Apeldoorn,08:59,Red
7,ICE242,Amersfoort Centraal,09:24,Red
8,SPR7028,Hengelo,08:01,Blue
9,SPR7028,Hengelo,08:02,Blue
10,SPR7028,Borne,08:07,Blue
11,SPR7028,Almelo de Riet,08:12,Blue
12,SPR7028,Almelo,08:15,Blue
13,SPR7028,Almelo,08:23,Blue
14,SPR7028,Wierden,08:28,Blue
15,SPR7028,Wierden,08:28,Blue
16,SPR7028,Rijssen,08:33,Blue
17,SPR7028,Holten,08:39,Blue
18,SPR7028,Deventer Colmschate,08:49,Blue
19,SPR7028,Deventer,08:54,Blue
20,SPR7028,Deventer,08:55,Blue
21,SPR7028,Twello,09:00,Blue
22,SPR7028,Apeldoorn Osseveld,09:05,Blue
23,SPR7028,Apeldoorn,09:10,Blue
24,SPR7030,Hengelo,08:31,Blue
25,SPR7030,Hengelo,08:32,Blue
26,SPR7030,Borne,08:37,Blue
27,SPR7030,Almelo de Riet,08:42,Blue
28,SPR7030,Almelo,08:45,Blue
29,SPR7030,Almelo,08:53,Blue
30,SPR7030,Wierden,08:58,Blue
31,SPR7030,Wierden,08:58,Blue
32,SPR7030,Rijssen,09:03,Blue
33,SPR7030,Holten,09:09,Blue
34,SPR7030,Deventer Colmschate,09:19,Blue
35,SPR7030,Deventer,09:24,Blue
36,SPR7030,Deventer,09:25,Blue
37,SPR7030,Twello,09:30,Blue
38,SPR7030,Apeldoorn Osseveld,09:35,Blue
39,SPR7030,Apeldoorn,09:40,Blue
40,SPR7032,Hengelo,09:01,Blue
41,SPR7032,Hengelo,09:02,Blue
42,SPR7032,Borne,09:07,Blue
43,SPR7032,Almelo de Riet,09:12,Blue
44,SPR7032,Almelo,09:15,Blue
45,SPR7032,Almelo,09:23,Blue
46,SPR7032,Wierden,09:28,Blue
47,SPR7032,Wierden,09:28,Blue
48,SPR7032,Rijssen,09:33,Blue
49,SPR7032,Holten,09:39,Blue
50,SPR7032,Deventer Colmschate,09:49,Blue
51,SPR7032,Deventer,09:54,Blue
52,SPR7032,Deventer,09:55,Blue
53,SPR7032,Twello,10:00,Blue
54,SPR7032,Apeldoorn Osseveld,10:05,Blue
55,SPR7032,Apeldoorn,10:10,Blue
56,SPR7034,Almelo,09:53,Blue
57,SPR7034,Wierden,09:58,Blue
58,SPR7034,Wierden,09:58,Blue
59,SPR7034,Rijssen,10:04,Blue
60,SPR7034,Holten,10:09,Blue
61,SPR7034,Deventer Colmschate,10:19,Blue
62,SPR7034,Deventer,10:24,Blue
63,SPR7034,Deventer,10:25,Blue
64,SPR7034,Twello,10:30,Blue
65,SPR7034,Apeldoorn Osseveld,10:35,Blue
66,SPR7034,Apeldoorn,10:40,Blue
67,IC 1728,Hengelo,08:23,Green
68,IC 1728,Hengelo,08:24,Green
69,IC 1728,Almelo,08:35,Green
70,IC 1728,Almelo,08:36,Green
71,IC 1728,Deventer,09:00,Green
72,IC 1728,Deventer,09:03,Green
73,IC 1728,Apeldoorn,09:13,Green
74,IC 1728,Apeldoorn,09:14,Green
75,IC 1728,Amersfoort Centraal,09:38,Green
76,IC1730,Hengelo,08:53,Green
77,IC1730,Hengelo,08:54,Green
78,IC1730,Almelo,09:05,Green
79,IC1730,Almelo,09:06,Green
80,IC1730,Deventer,09:30,Green
81,IC1730,Deventer,09:33,Green
82,IC1730,Apeldoorn,09:43,Green
83,IC1730,Apeldoorn,09:44,Green
84,IC1730,Amersfoort Centraal,10:08,Green
85,IC1732,Hengelo,09:23,Green
86,IC1732,Hengelo,09:24,Green
87,IC1732,Almelo,09:35,Green
88,IC1732,Almelo,09:36,Green
89,IC1732,Deventer,10:00,Green
90,IC1732,Deventer,10:03,Green
91,IC1732,Apeldoorn,10:13,Green
92,IC1732,Apeldoorn,10:14,Green
93,IC1732,Amersfoort Centraal,10:38,Green
94,IC1734,Hengelo,09:52,Green
95,IC1734,Hengelo,09:54,Green
96,IC1734,Almelo,10:05,Green
97,IC1734,Almelo,10:06,Green
98,IC1734,Deventer,10:30,Green
99,IC1734,Deventer,10:33,Green
100,IC1734,Apeldoorn,10:43,Green
101,IC1734,Apeldoorn,10:44,Green
102,IC1734,Amersfoort Centraal,11:08,Green
103,STOP20354,Bad Bentheim,08:08,Blue
104,STOP20354,Oldenzaal,08:18,Blue
105,STOP20354,Hengelo,08:26,Blue
