Service:RDT-ID,Service:Date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled,Stop:Platform change,Stop:Planned platform,Stop:Actual platform
12695448,2024-01-02,Intercity,NS Int,242,False,False,0,114353118,BH,Bad Bentheim,2024-01-02T07:48:00+01:00,6.0,False,2024-01-02T07:51:00+01:00,9.0,False,False,,
12695448,2024-01-02,Intercity,NS Int,242,False,False,0,114353119,HGL,Hengelo,2024-01-02T08:07:00+01:00,14.0,False,2024-01-02T08:09:00+01:00,14.0,False,False,2,2
12695448,2024-01-02,Intercity,NS Int,242,False,False,0,114353120,DV,Deventer,2024-01-02T08:41:00+01:00,16.0,False,2024-01-02T08:45:00+01:00,13.0,False,True,3,4
12695448,2024-01-02,Intercity,NS Int,242,False,False,0,114353121,APD,Apeldoorn,2024-01-02T08:57:00+01:00,14.0,False,2024-01-02T08:59:00+01:00,14.0,False,False,1,1
12695448,2024-01-02,Intercity,NS Int,242,False,False,0,114353122,AMF,Amersfoort Centraal,2024-01-02T09:24:00+01:00,13.0,False,2024-01-02T09:26:00+01:00,13.0,False,False,7,7
12695539,2024-01-02,Stoptrein,Eurobahn,20354,False,False,0,114354041,BH,Bad Bentheim,2024-01-02T08:03:00+01:00,2.0,False,2024-01-02T08:08:00+01:00,0.0,False,False,,
12695539,2024-01-02,Stoptrein,Eurobahn,20354,False,False,0,114354042,ODZ,Oldenzaal,2024-01-02T08:17:00+01:00,3.0,False,2024-01-02T08:18:00+01:00,2.0,False,False,1a,1a
12695539,2024-01-02,Stoptrein,Eurobahn,20354,False,False,0,114354043,HGL,Hengelo,2024-01-02T08:26:00+01:00,2.0,False,,,,False,11,11
12695641,2024-01-02,Intercity,NS,3620,False,False,0,114355054,DV,Deventer,2024-01-02T08:45:00+01:00,1.0,False,2024-01-02T08:46:00+01:00,1.0,False,False,4,4
12695819,2024-01-02,Intercity,NS,3622,False,False,0,114356801,DV,Deventer,2024-01-02T09:15:00+01:00,0.0,False,2024-01-02T09:16:00+01:00,0.0,False,False,4,4
12695895,2024-01-02,Stoptrein,Eurobahn,20358,False,False,0,114357547,BH,Bad Bentheim,2024-01-02T09:03:00+01:00,3.0,False,2024-01-02T09:08:00+01:00,0.0,False,False,,
12695895,2024-01-02,Stoptrein,Eurobahn,20358,False,False,0,114357548,ODZ,Oldenzaal,2024-01-02T09:17:00+01:00,3.0,False,2024-01-02T09:18:00+01:00,3.0,False,False,1a,1a
12695895,2024-01-02,Stoptrein,Eurobahn,20358,False,False,0,114357549,HGL,Hengelo,2024-01-02T09:26:00+01:00,2.0,False,,,,False,11,11
12695990,2024-01-02,Intercity,NS,3624,False,False,0,114358494,DV,Deventer,2024-01-02T09:45:00+01:00,1.0,False,2024-01-02T09:46:00+01:00,2.0,False,True,4,3
12696125,2024-01-02,Sprinter,NS,7028,False,False,0,114359793,HGL,Hengelo,2024-01-02T08:01:00+01:00,0.0,False,2024-01-02T08:02:00+01:00,0.0,False,False,2a,2a
12696125,2024-01-02,Sprinter,NS,7028,False,False,0,114359794,BN,Borne,2024-01-02T08:07:00+01:00,0.0,False,2024-01-02T08:07:00+01:00,0.0,False,False,2,2
12696125,2024-01-02,Sprinter,NS,7028,False,False,0,114359795,AMRI,Almelo de Riet,2024-01-02T08:12:00+01:00,0.0,False,2024-01-02T08:12:00+01:00,0.0,False,False,1,1
12696125,2024-01-02,Sprinter,NS,7028,False,False,0,114359796,AML,Almelo,2024-01-02T08:15:00+01:00,0.0,False,2024-01-02T08:23:00+01:00,2.0,False,False,4b,4b
12696125,2024-01-02,Sprinter,NS,7028,False,False,0,114359797,WDN,Wierden,2024-01-02T08:28:00+01:00,1.0,False,2024-01-02T08:28:00+01:00,1.0,False,False,2,2
