train_id;ICE140;STOP31276;STOP31278;STOP31280;STOP31282;SPR7076;SPR7078;SPR7080;SPR7082;IC 1776;IC1778;IC1780;IC1782;STOP20380;STOP20382;SPR31362;SPR31364;SPR31366;SPR31368;IC3668;IC3670;IC3672;IC3674;SPR7976;SPR7978;SPR7980;SPR7982;GOE1;GOE2;GOE3;GOE4
color;Red;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;19:51;;;;;;;;;;;;;20:08;21:08;;;;;;;;;;;;;20:32;21:32;19:58;20:58
Oldenzaal;;20:03;20:34;21:04;21:33;;;;;;;;;20:19;21:18;;;;;;;;;;;;;;;;
Hengelo Oost;;20:09;20:40;21:10;21:39;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;20:07;20:13;20:44;21:14;21:43;;;;;20:23;20:55;21:23;21:53;20:26;21:26;;;;;;;;;20:13;20:43;21:13;21:43;;;20:24;21:24
Hengelo;20:09;20:17;20:47;21:16;21:46;;;;;20:24;20:55;21:24;21:54;;;;;;;;;;;20:16;20:46;21:16;21:46;;;20:29;21:29
Borne;;;;;;;;;;;;;;;;;;;;;;;;20:21;20:51;21:21;21:51;;;;
Almelo de Riet;;;;;;;;;;;;;;;;;;;;;;;;20:26;20:56;21:26;21:56;;;;
Almelo;;;;;;;;;;20:35;21:05;21:35;22:05;;;;;;;;;;;20:29;20:59;21:29;21:59;;;;
Almelo;;;;;;20:23;20:53;21:23;21:53;20:36;21:07;21:36;22:06;;;;;;;;;;;20:30;21:00;21:30;22:00;21:09;22:09;20:39;21:39
Wierden;;;;;;20:28;20:58;21:28;21:58;;;;;;;;;;;;;;;20:34;21:04;21:34;22:04;;;;
Wierden;;;;;;20:28;20:58;21:28;21:58;;;;;;;;;;;;;;;20:36;21:07;21:36;22:07;;;;
Rijssen;;;;;;20:34;21:04;21:34;22:04;;;;;;;;;;;;;;;;;;;;;;
Holten;;;;;;20:39;21:09;21:39;22:09;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;;;;;20:49;21:19;21:49;22:19;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;20:43;21:13;21:43;22:13;;;;;;;;
Deventer;20:41;;;;;20:54;21:24;21:54;22:24;21:00;21:30;22:00;22:30;;;;;;;20:45;21:15;21:45;22:15;;;;;21:37;22:37;21:07;22:07
Deventer;20:47;;;;;20:55;21:25;21:55;22:25;21:03;21:33;22:03;22:33;;;;;;;20:46;21:16;21:46;22:16;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;20:47;21:17;21:47;22:17;;;;;;;;
Twello;;;;;;21:00;21:30;22:00;22:30;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;;;;;21:05;21:35;22:05;22:35;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;20:57;;;;;21:10;21:40;22:10;22:40;21:13;21:43;22:13;22:43;;;;;;;;;;;;;;;;;;
Apeldoorn;20:59;;;;;;;;;21:14;21:44;22:14;22:44;;;;;;;;;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;;;;;21:17;21:47;22:17;22:47;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;;;;;21:24;21:54;22:24;22:54;;;;;;;;;;;;
Amersfoort Centraal;21:24;;;;;;;;;21:38;22:08;22:38;23:08;;;21:30;22:00;22:30;23:00;;;;;;;;;22:21;23:21;21:51;22:51
