train_id;ICE142;STOP31268;STOP31270;STOP31272;STOP31274;SPR7068;SPR7070;SPR7072;SPR7074;IC 1768;IC1770;IC1772;IC1774;STOP20376;STOP20378;SPR31354;SPR31458;SPR31356;SPR31460;SPR31358;SPR31462;SPR31360;IC3660;IC3662;IC3664;IC3666;IC17970;IC17974;SPR7968;SPR7970;SPR7972;SPR7974;GOE1;GOE4;GOE2;GOE3
color;Red;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;17:51;;;;;;;;;;;;;18:08;19:08;;;;;;;;;;;;;;;;;;18:32;19:32;17:58;18:58
Oldenzaal;;18:03;18:33;19:03;19:33;;;;;;;;;18:18;19:18;;;;;;;;;;;;;;;;;;;;;
Hengelo Oost;;18:09;18:39;19:09;19:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;18:07;18:13;18:43;19:13;19:43;;;;;18:23;18:53;19:23;19:53;18:26;19:26;;;;;;;;;;;;18:38;19:38;18:13;18:43;19:13;19:43;;;18:24;19:24
Hengelo;18:09;18:16;18:46;19:16;19:46;18:02;;;;18:24;18:54;19:24;19:54;;;;;;;;;;;;;;18:39;19:39;18:16;18:46;19:16;19:46;;;18:29;19:29
Borne;;;;;;18:07;;;;;;;;;;;;;;;;;;;;;;;18:21;18:51;19:21;19:51;;;;
Almelo de Riet;;;;;;18:12;;;;;;;;;;;;;;;;;;;;;;;18:26;18:56;19:26;19:56;;;;
Almelo;;;;;;18:15;;;;18:35;19:05;19:35;20:05;;;;;;;;;;;;;;18:49;19:49;18:29;18:59;19:29;19:59;;;;
Almelo;;;;;;18:23;18:53;19:23;19:53;18:36;19:06;19:36;20:06;;;;;;;;;;;;;;18:50;19:50;18:30;19:00;19:30;20:00;19:09;20:09;18:39;19:39
Wierden;;;;;;18:28;18:58;19:28;19:58;;;;;;;;;;;;;;;;;;18:54;19:54;18:34;19:04;19:34;20:04;;;;
Wierden;;;;;;18:28;18:58;19:28;19:58;;;;;;;;;;;;;;;;;;;;18:36;19:07;19:36;20:07;;;;
Rijssen;;;;;;18:33;19:04;19:34;20:04;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holten;;;;;;18:39;19:09;19:39;20:09;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;;;;;18:49;19:19;19:49;20:19;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;;;;18:43;19:13;19:43;20:13;;;;;;;;;;
Deventer;18:41;;;;;18:54;19:24;19:54;20:24;19:00;19:30;20:00;20:30;;;;;;;;;;18:45;19:15;19:45;20:15;;;;;;;19:37;20:37;19:07;20:07
Deventer;18:47;;;;;18:55;19:25;19:55;20:25;19:03;19:33;20:03;20:33;;;;;;;;;;18:46;19:16;19:46;20:16;;;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;;;;18:47;19:17;19:47;20:17;;;;;;;;;;
Twello;;;;;;19:00;19:30;20:00;20:30;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;;;;;19:05;19:35;20:05;20:35;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;18:57;;;;;19:10;19:40;20:10;20:40;19:13;19:43;20:13;20:43;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;18:59;;;;;;;;;19:14;19:44;20:14;20:44;;;;;;;;;;;;;;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;;;;;19:17;19:32;19:47;20:02;20:17;20:32;20:47;;;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;;;;;19:24;19:39;19:54;20:09;20:24;20:39;20:54;;;;;;;;;;;;;;
Amersfoort Centraal;19:24;;;;;;;;;19:38;20:08;20:38;21:08;;;19:30;19:45;20:00;20:15;20:30;20:45;21:00;;;;;;;;;;;20:21;21:21;19:51;20:51
