train_id;ICE144;STOP31260;STOP31262;STOP31264;STOP31266;SPR7060;SPR7062;SPR7064;SPR7066;IC 1760;IC1762;IC1764;IC1766;STOP20372;STOP20374;SPR31346;SPR31450;SPR31348;SPR31452;SPR31350;SPR31454;SPR31352;SPR31456;IC3652;IC3654;IC3656;IC3658;IC1562;IC1564;IC1566;IC17962;IC17966;SPR7960;SPR7962;SPR7964;SPR7966;GOE1;GOE2;GOE3;GOE4
color;Red;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Green;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;15:51;;;;;;;;;;;;;16:08;17:08;;;;;;;;;;;;;;;;;;;;;;16:32;15:58;16:58;17:32
Oldenzaal;;16:03;16:33;17:03;17:33;;;;;;;;;16:18;17:18;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo Oost;;16:09;16:39;17:09;17:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;16:07;16:13;16:43;17:13;17:43;;;17:01;17:31;16:23;16:53;17:23;17:53;16:26;17:26;;;;;;;;;;;;;;;;16:38;17:38;16:13;16:43;17:13;17:43;;16:24;17:24;
Hengelo;16:09;16:16;16:46;17:16;17:46;16:02;16:32;17:02;17:33;16:24;16:54;17:24;17:54;;;;;;;;;;;;;;;;;;16:39;17:39;16:16;16:46;17:16;17:46;;16:29;17:29;
Borne;;;;;;16:07;16:37;17:07;17:38;;;;;;;;;;;;;;;;;;;;;;;;16:21;16:51;17:21;17:51;;;;
Almelo de Riet;;;;;;16:12;16:42;17:12;17:43;;;;;;;;;;;;;;;;;;;;;;;;16:26;16:56;17:26;17:56;;;;
Almelo;;;;;;16:15;16:45;17:15;17:46;16:35;17:05;17:35;18:05;;;;;;;;;;;;;;;;;;16:49;17:49;16:29;16:59;17:29;17:59;;;;
Almelo;;;;;;16:23;16:53;17:23;17:53;16:36;17:06;17:36;18:06;;;;;;;;;;;;;;;;;;16:50;17:50;16:30;17:00;17:30;18:00;17:09;16:39;17:39;18:09
Wierden;;;;;;16:28;16:58;17:28;17:58;;;;;;;;;;;;;;;;;;;;;;16:54;17:54;16:34;17:04;17:34;18:04;;;;
Wierden;;;;;;16:28;16:58;17:28;17:58;;;;;;;;;;;;;;;;;;;;;;;;16:36;17:07;17:36;18:07;;;;
Rijssen;;;;;;16:33;17:03;17:33;18:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holten;;;;;;16:39;17:09;17:39;18:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;;;;;16:49;17:19;17:49;18:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;;;;;16:43;17:13;17:43;18:13;;;;;;;;;;;;;
Deventer;16:41;;;;;16:54;17:24;17:54;18:24;17:00;17:30;18:00;18:30;;;;;;;;;;;16:45;17:15;17:45;18:15;;;;;;;;;;17:37;17:07;18:07;18:37
Deventer;16:47;;;;;16:55;17:25;17:55;18:25;17:03;17:33;18:03;18:33;;;;;;;;;;;16:46;17:16;17:46;18:16;17:19;17:49;18:18;;;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;;;;;16:47;17:17;17:47;18:17;;;;;;;;;;;;;
Twello;;;;;;17:00;17:30;18:00;18:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;;;;;17:05;17:35;18:05;18:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;16:57;;;;;17:10;17:40;18:10;18:40;17:13;17:43;18:13;18:43;;;;;;;;;;;;;;;17:29;17:59;18:28;;;;;;;;;;
Apeldoorn;16:59;;;;;;;;;17:14;17:44;18:14;18:44;;;;;;;;;;;;;;;17:30;18:00;18:30;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;;;;;17:17;17:32;17:47;18:02;18:17;18:32;18:47;19:02;;;;;;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;;;;;17:24;17:39;17:54;18:09;18:24;18:39;18:54;19:09;;;;;;;;;;;;;;;;;
Amersfoort Centraal;17:24;;;;;;;;;17:38;18:08;18:38;19:08;;;17:30;17:45;18:00;18:15;18:30;18:45;19:00;19:15;;;;;17:54;18:24;18:54;;;;;;;18:21;17:51;18:51;19:21
