train_id;ICE148;STOP31244;STOP31246;STOP31248;STOP31250;SPR7044;SPR7046;SPR7048;SPR7050;IC1744;IC 1746;IC1748;IC1750;STOP20364;STOP20366;SPR31330;SPR31434;SPR31332;SPR31436;SPR31334;SPR31438;SPR31336;SPR31440;IC3636;IC3638;IC3640;IC3642;IC1548;IC17946;IC17950;SPR7944;SPR7946;SPR7948;SPR7950;GOE1;GOE2;GOE3;GOE4
color;Red;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;11:51;;;;;;;;;;;;;12:08;13:08;;;;;;;;;;;;;;;;;;;;12:32;11:58;12:58;13:32
Oldenzaal;;12:03;12:33;13:03;13:33;;;;;;;;;12:18;13:18;;;;;;;;;;;;;;;;;;;;;;;
Hengelo Oost;;12:09;12:39;13:09;13:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;12:07;12:13;12:43;13:13;13:43;;;;;12:23;12:53;13:23;13:53;12:26;13:26;;;;;;;;;;;;;;12:38;13:38;12:13;12:43;13:13;13:43;;12:24;13:24;
Hengelo;12:09;12:16;12:46;13:16;13:46;;;;;12:24;12:54;13:24;13:54;;;;;;;;;;;;;;;;12:39;13:39;12:16;12:46;13:16;13:46;;12:29;13:29;
Borne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:21;12:51;13:21;13:51;;;;
Almelo de Riet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:26;12:56;13:26;13:56;;;;
Almelo;;;;;;;;;;12:35;13:05;13:35;14:05;;;;;;;;;;;;;;;;12:49;13:49;12:29;12:59;13:29;13:59;;;;
Almelo;;;;;;12:23;12:53;13:23;13:53;12:36;13:06;13:36;14:06;;;;;;;;;;;;;;;;12:50;13:50;12:30;13:00;13:30;14:00;13:09;12:39;13:39;14:09
Wierden;;;;;;12:28;12:58;13:28;13:58;;;;;;;;;;;;;;;;;;;;12:54;13:54;12:34;13:04;13:34;14:04;;;;
Wierden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:36;13:07;13:36;14:07;;;;
Rijssen;;;;;;12:34;13:04;13:34;14:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holten;;;;;;12:39;13:09;13:39;14:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;;;;;12:49;13:19;13:49;14:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;;;;;12:43;13:13;13:43;14:13;;;;;;;;;;;
Deventer;12:41;;;;;12:53;13:24;13:55;14:26;13:00;13:30;14:00;14:30;;;;;;;;;;;12:45;13:15;13:45;14:15;;;;;;;;13:37;13:07;14:07;14:37
Deventer;12:47;;;;;12:55;13:25;13:55;14:25;13:03;13:33;14:03;14:33;;;;;;;;;;;12:46;13:16;13:46;14:16;13:48;;;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;;;;;12:47;13:17;13:47;14:17;;;;;;;;;;;
Twello;;;;;;13:00;13:30;14:00;14:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;;;;;13:05;13:35;14:05;14:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;12:57;;;;;13:10;13:40;14:10;14:40;13:13;13:43;14:13;14:43;;;;;;;;;;;;;;;13:58;;;;;;;;;;
Apeldoorn;12:59;;;;;;;;;13:14;13:44;14:14;14:44;;;;;;;;;;;;;;;14:00;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;;;;;13:17;13:32;13:47;14:02;14:17;14:32;14:47;15:02;;;;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;;;;;13:24;13:39;13:54;14:09;14:24;14:39;14:54;15:09;;;;;;;;;;;;;;;
Amersfoort Centraal;13:24;;;;;;;;;13:38;14:08;14:38;15:08;;;13:30;13:45;14:00;14:15;14:30;14:45;15:00;15:15;;;;;14:24;;;;;;;14:21;13:51;14:51;15:21
