train_id;ICE240;STOP31236;STOP31238;STOP31240;STOP31242;SPR7036;SPR7038;SPR7040;SPR7042;IC 1736;IC1738;IC1740;IC1742;STOP20360;STOP20362;SPR31322;SPR31426;SPR31324;SPR31428;SPR31326;SPR31430;SPR31328;SPR31432;IC3628;IC3630;IC3632;IC3634;IC1540;IC17938;IC17942;SPR7936;SPR7938;SPR7940;SPR7942;GOE1;GOE2;GOE3;GOE4
color;Red;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;09:51;;;;;;;;;;;;;10:08;11:08;;;;;;;;;;;;;;;;;;;;09:58;10:58;10:32;11:32
Oldenzaal;;10:03;10:33;11:03;11:33;;;;;;;;;10:18;11:18;;;;;;;;;;;;;;;;;;;;;;;
Hengelo Oost;;10:09;10:39;11:09;11:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;10:07;10:13;10:43;11:13;11:43;;;;;10:23;10:53;11:23;11:53;10:26;11:26;;;;;;;;;;;;;;10:38;11:38;10:13;10:43;11:13;11:43;10:24;11:24;;
Hengelo;10:09;10:16;10:46;11:16;11:46;;;;;10:24;10:54;11:24;11:54;;;;;;;;;;;;;;;;10:39;11:39;10:16;10:46;11:16;11:46;10:29;11:29;;
Borne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10:21;10:51;11:21;11:51;;;;
Almelo de Riet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10:26;10:56;11:26;11:56;;;;
Almelo;;;;;;;;;;10:35;11:05;11:35;12:05;;;;;;;;;;;;;;;;10:49;11:49;10:29;10:59;11:29;11:59;;;;
Almelo;;;;;;10:23;10:53;11:23;11:53;10:36;11:06;11:36;12:06;;;;;;;;;;;;;;;;10:50;11:50;10:30;11:00;11:30;12:00;10:39;11:39;11:09;12:09
Wierden;;;;;;10:28;10:58;11:28;11:58;;;;;;;;;;;;;;;;;;;;10:54;11:54;10:34;11:04;11:34;12:04;;;;
Wierden;;;;;;10:28;10:58;11:28;11:58;;;;;;;;;;;;;;;;;;;;;;10:36;11:07;11:36;12:07;;;;
Rijssen;;;;;;10:34;11:03;11:33;12:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holten;;;;;;10:39;11:09;11:39;12:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;;;;;10:49;11:19;11:49;12:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;;;;;10:43;11:13;11:43;12:13;;;;;;;;;;;
Deventer;10:41;;;;;10:54;11:24;11:54;12:24;11:00;11:30;12:00;12:30;;;;;;;;;;;10:45;11:15;11:45;12:15;;;;;;;;11:07;12:07;11:37;12:37
Deventer;10:47;;;;;10:55;11:25;11:55;12:25;11:03;11:33;12:03;12:33;;;;;;;;;;;10:46;11:16;11:46;12:16;11:48;;;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;;;;;10:47;11:17;11:47;12:17;;;;;;;;;;;
Twello;;;;;;11:00;11:30;12:00;12:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;;;;;11:05;11:35;12:05;12:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;10:57;;;;;11:10;11:40;12:10;12:40;11:13;11:43;12:13;12:43;;;;;;;;;;;;;;;11:58;;;;;;;;;;
Apeldoorn;10:59;;;;;;;;;11:14;11:44;12:14;12:44;;;;;;;;;;;;;;;12:00;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;;;;;11:17;11:32;11:47;12:02;12:17;12:32;12:47;13:02;;;;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;;;;;11:24;11:39;11:54;12:09;12:24;12:39;12:54;13:09;;;;;;;;;;;;;;;
Amersfoort Centraal;11:24;;;;;;;;;11:38;12:08;12:38;13:08;;;11:30;11:45;12:00;12:15;12:30;12:45;13:00;13:15;;;;;12:24;;;;;;;11:51;12:51;12:21;13:21
