train_id;ICE242;SPR7028;SPR7030;SPR7032;SPR7034;IC 1728;IC1730;IC1732;IC1734;STOP20354;STOP20358;SPR31314;SPR31418;SPR31316;SPR31420;SPR31318;SPR31422;SPR31320;SPR31424;IC3620;IC3622;IC3624;IC3626;IC1530;IC1532;IC17930;IC17934;STOP31228;STOP31230;STOP31232;STOP31234;SPR7928;SPR7930;SPR7932;SPR7934;GOE3;GOE2;GOE1;GOE4
color;Red;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;07:51;;;;;;;;;08:08;09:08;;;;;;;;;;;;;;;;;;;;;;;;;07:58;08:58;08:32;09:32
Oldenzaal;;;;;;;;;;08:18;09:18;;;;;;;;;;;;;;;;;08:03;08:33;09:03;09:33;;;;;;;;
Hengelo Oost;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:09;08:39;09:09;09:39;;;;;;;;
Hengelo;08:07;08:01;08:31;09:01;;08:23;08:53;09:23;09:52;08:26;09:26;;;;;;;;;;;;;;;08:38;09:38;08:13;08:43;09:13;09:43;08:13;08:43;09:13;09:43;08:24;09:24;;
Hengelo;08:09;08:02;08:32;09:02;;08:24;08:54;09:24;09:54;;;;;;;;;;;;;;;;;08:39;09:39;08:16;08:46;09:16;09:46;08:16;08:46;09:16;09:46;08:29;09:29;;
Borne;;08:07;08:37;09:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:21;08:51;09:21;09:51;;;;
Almelo de Riet;;08:12;08:42;09:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:26;08:56;09:26;09:56;;;;
Almelo;;08:15;08:45;09:15;;08:35;09:05;09:35;10:05;;;;;;;;;;;;;;;;;08:49;09:49;;;;;08:29;08:59;09:29;09:59;;;;
Almelo;;08:23;08:53;09:23;09:53;08:36;09:06;09:36;10:06;;;;;;;;;;;;;;;;;08:50;09:50;;;;;08:30;09:00;09:30;10:00;08:39;09:39;09:09;10:09
Wierden;;08:28;08:58;09:28;09:58;;;;;;;;;;;;;;;;;;;;;08:54;09:54;;;;;08:34;09:04;09:34;10:04;;;;
Wierden;;08:28;08:58;09:28;09:58;;;;;;;;;;;;;;;;;;;;;;;;;;;08:36;09:07;09:36;10:07;;;;
Rijssen;;08:33;09:03;09:33;10:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holten;;08:39;09:09;09:39;10:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;08:49;09:19;09:49;10:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;08:43;09:13;09:43;10:13;;;;;;;;;;;;;;;;
Deventer;08:41;08:54;09:24;09:54;10:24;09:00;09:30;10:00;10:30;;;;;;;;;;;08:45;09:15;09:45;10:15;;;;;;;;;;;;;09:07;10:07;09:37;10:37
Deventer;08:47;08:55;09:25;09:55;10:25;09:03;09:33;10:03;10:33;;;;;;;;;;;08:46;09:16;09:46;10:16;09:19;09:48;;;;;;;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;08:47;09:17;09:47;10:17;;;;;;;;;;;;;;;;
Twello;;09:00;09:30;10:00;10:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;09:05;09:35;10:05;10:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;08:57;09:10;09:40;10:10;10:40;09:13;09:43;10:13;10:43;;;;;;;;;;;;;;;09:29;09:58;;;;;;;;;;;;;;
Apeldoorn;08:59;;;;;09:14;09:44;10:14;10:44;;;;;;;;;;;;;;;09:30;10:00;;;;;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;09:17;09:32;09:47;10:02;10:17;10:32;10:47;11:02;;;;;;;;;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;09:24;09:39;09:54;10:09;10:24;10:39;10:54;11:09;;;;;;;;;;;;;;;;;;;;
Amersfoort Centraal;09:24;;;;;09:38;10:08;10:38;11:08;;;09:30;09:45;10:00;10:15;10:30;10:45;11:00;11:15;;;;;09:54;10:24;;;;;;;;;;;09:51;10:51;10:21;11:21
